ลำดับ,จังหวัดภูมิลำเนา,จังหวัดสถานที่ติดต่อได้,จังหวัดสถานที่ทำงาน,สถานะใบอนุญาต
39563,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39564,เชียงใหม่,เชียงใหม่,เชียงใหม่,ปกติ
39565,สงขลา,สงขลา,สงขลา,ปกติ
39566,มุกดาหาร,มุกดาหาร,นครพนม,ปกติ
39567,ขอนแก่น,ขอนแก่น,,ปกติ
39568,ศรีสะเกษ,ศรีสะเกษ,กรุงเทพมหานคร,ปกติ
39569,พิษณุโลก,พิษณุโลก,พิษณุโลก,ปกติ
39570,ราชบุรี,ราชบุรี,ราชบุรี,ปกติ
39571,กำแพงเพชร,กำแพงเพชร,กำแพงเพชร,ปกติ
39572,ตรัง,ตรัง,ตรัง,ปกติ
39573,ชลบุรี,ชลบุรี,ชลบุรี,ปกติ
39574,ระยอง,ระยอง,ระยอง,ปกติ
39575,พระนครศรีอยุธยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,ปกติ
39576,เชียงใหม่,เชียงใหม่,เชียงใหม่,ปกติ
39577,นนทบุรี,นนทบุรี,กรุงเทพมหานคร,ปกติ
39578,กรุงเทพมหานคร,กรุงเทพมหานคร,,ปกติ
39579,สุพรรณบุรี,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39580,สมุทรปราการ,สมุทรปราการ,สมุทรปราการ,ปกติ
39581,นครศรีธรรมราช,นครศรีธรรมราช,นครศรีธรรมราช,ปกติ
39582,นครราชสีมา,นครราชสีมา,นครราชสีมา,ปกติ
39583,อุบลราชธานี,อุบลราชธานี,อุบลราชธานี,ปกติ
39584,ชลบุรี,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39585,เพชรบูรณ์,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39586,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39587,สุพรรณบุรี,สุพรรณบุรี,สุพรรณบุรี,ปกติ
39588,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
